AppID,Name,Genres,Categories,Tags,Rating
449940,! That Bastard Is Trying To Steal Our Gold !,"Action, Adventure, Casual, Indie","Single-player, Steam Trading Cards, Partial Controller Support, Family Sharing","Puzzle-Platformer, Dark Humor, Dungeon Crawler, Mining, Memes",33
866510,!AnyWay!,"Adventure, Casual, Indie","Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards","Side Scroller, Precision Platformer, 2D Platformer, Casual, Sandbox",37
1921480,#BLUD,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Adventure, Action RPG, Action-Adventure, Dungeon Crawler, Cartoony",35
2494780,#DRIVE Rally,"Action, Indie, Racing, Simulation, Sports","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Stats","Racing, Driving, Arcade, Sports, Automobile Sim",36
303720,#KILLALLZOMBIES,"Action, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen","Action, Indie, Twin Stick Shooter, Zombies, Co-op",35
614910,#monstercakes,"Casual, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud","Casual, Indie, Puzzle, Match 3, Singleplayer",43
508290,$1 Ride,"Action, Casual, Indie","Single-player, Steam Trading Cards, Family Sharing","Casual, Action, Indie, Arcade",34
1473350,(the) Gnorp Apologue,"Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","Clicker, Idler, Strategy, Building, Rogue-lite",79
1465860,*NEW* SCUFFED EPIC BHOP SIMULATOR 2023 (POG CHAMP),"Action, Adventure, Casual, Indie, Simulation","Single-player, Multi-player, Co-op, Online Co-op, Cross-Platform Multiplayer","Casual, Action, Simulation, Platformer, Open World",67
603750,- Arcane Raise -,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Captions available, Partial Controller Support","Adventure, RPG, Strategy, Casual, RPGMaker",36
1240480,-The Sacrificial Girl of the Fantasy 3 Kingdoms-,"Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Family Sharing","Adventure, Indie, RPG, Casual, JRPG",34
2691350,.Forty-Five,"Action, Adventure, Indie, Strategy",Single-player,"Roguelike Deckbuilder, Western, Free to Play, Card Game, Rogue-lite",45
525480,.hack//G.U. Last Recode,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Partial Controller Support, Remote Play on TV","RPG, JRPG, Anime, Singleplayer, Story Rich",62
759000,.projekt,"Casual, Indie","Single-player, Steam Achievements, Family Sharing","Casual, Indie, Puzzle, Minimalist, Abstract",33
347400,001 Game Creator: 2025 Edition,"Animation & Modeling, Design & Illustration, Education, Photo Editing, Software Training","Steam Achievements, Adjustable Text Size, Camera Comfort, Chat Text-to-speech, Color Alternatives","Game Development, Design & Illustration, Utilities, Web Publishing, Animation & Modeling",34
952950,3.04,"Action, Adventure, Indie","Single-player, Steam Achievements, Partial Controller Support","Action, Adventure, Indie, Horror, FPS",36
278440,0RBITALIS,"Indie, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud","Simulation, Indie, Puzzle, Space, Physics",34
670750,0°N 0°W,"Adventure, Casual, Indie","Single-player, Partial Controller Support, Family Sharing","Colorful, Surreal, Exploration, Open World, Psychedelic",36
497400,1 Moment Of Time: Silentville,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","Adventure, Hidden Object, Indie, Point & Click, Puzzle",39
791180,1 Screen Platformer,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing","Precision Platformer, Difficult, 2D Platformer, Platformer, Side Scroller",37
